UniversityType,Year,Metric,Value
Central University,2016,Under Graduate Female,266055
Central Open University,2020,Under Graduate Female,271482
Central Open University,2019,Under Graduate Female,260436
Central Open University,2018,Under Graduate Female,231907
Central Open University,2017,Under Graduate Female,142411
Central Open University,2016,Under Graduate Female,159590
Institute of National Importance,2020,Under Graduate Female,39382
Institute of National Importance,2019,Under Graduate Female,32401
Institute of National Importance,2018,Under Graduate Female,26736
Institute of National Importance,2017,Under Graduate Female,25883
Institute of National Importance,2016,Under Graduate Female,25458
Deemed University-Government,2020,Under Graduate Female,5074
Deemed University-Government,2019,Under Graduate Female,4539
Deemed University-Government,2018,Under Graduate Female,4607
Deemed University-Government,2017,Under Graduate Female,4138
Deemed University-Government,2016,Under Graduate Female,4272
State Public University,2020,Under Graduate Female,737761
State Public University,2019,Under Graduate Female,629094
State Public University,2018,Under Graduate Female,577931
State Public University,2017,Under Graduate Female,584153
State Public University,2016,Under Graduate Female,678820
State Open University,2020,Under Graduate Female,398571
State Open University,2019,Under Graduate Female,338072
State Open University,2018,Under Graduate Female,324191
State Open University,2017,Under Graduate Female,296255
State Open University,2016,Under Graduate Female,283596
Institute under State Legislature Act,2020,Under Graduate Female,4283
Institute under State Legislature Act,2019,Under Graduate Female,2755
Institute under State Legislature Act,2018,Under Graduate Female,2597
Institute under State Legislature Act,2017,Under Graduate Female,1727
Institute under State Legislature Act,2016,Under Graduate Female,1861
State Private University,2020,Under Graduate Female,334585
State Private University,2019,Under Graduate Female,278146
State Private University,2018,Under Graduate Female,249851
State Private University,2017,Under Graduate Female,210774
State Private University,2016,Under Graduate Female,147775
Deemed University-Government Aided,2020,Under Graduate Female,17241
Deemed University-Government Aided,2019,Under Graduate Female,17252
Deemed University-Government Aided,2018,Under Graduate Female,17902
Deemed University-Government Aided,2017,Under Graduate Female,14832
Deemed University-Government Aided,2016,Under Graduate Female,14551
Deemed University-Private,2020,Under Graduate Female,260587
Deemed University-Private,2019,Under Graduate Female,234714
Deemed University-Private,2018,Under Graduate Female,201593
Deemed University-Private,2017,Under Graduate Female,183493
Deemed University-Private,2016,Under Graduate Female,168013
State Private Open University,2020,Under Graduate Female,1352
State Private Open University,2019,Under Graduate Female,1443
State Private Open University,2017,Under Graduate Female,6
State Private Open University,2016,Under Graduate Female,6
All University Types,2020,Under Graduate Both,5768153
All University Types,2019,Under Graduate Both,5222346
All University Types,2018,Under Graduate Both,4827633
All University Types,2017,Under Graduate Both,4534154
All University Types,2016,Under Graduate Both,4413539
Central University,2020,Under Graduate Both,516630
Central University,2019,Under Graduate Both,540270
Central University,2018,Under Graduate Both,544150
Central University,2017,Under Graduate Both,560736
Central University,2016,Under Graduate Both,558058
Central Open University,2020,Under Graduate Both,740810
Central Open University,2019,Under Graduate Both,708022
Central Open University,2018,Under Graduate Both,627068
Central Open University,2017,Under Graduate Both,480730
